match_key,level,ncbi_taxon_id_if_available,n_dataset_rows,active_threshold_uM,inactive_threshold_uM,source,notes
Peptoniphilus,genus,,5,,,,
Mammaliicoccus,genus,,5,,,,
Chromobacterium,genus,,5,,,,
Exiguobacterium,genus,,5,,,,
Levilactobacillus brevis,species,1580,4,,,,
Hafnia alvei,species,569,4,,,,
Paracoccus denitrificans,species,266,4,,,,
Ureaplasma urealyticum,species,2130,4,,,,
Legionella feeleii,species,453,4,,,,
Legionella longbeachae,species,450,4,,,,
Vibrio sp.,species,678,4,,,,
Bifidobacterium adolescentis,species,1680,4,,,,
Psychrobacter sp.,species,56811,4,,,,
Vibrio coralliilyticus,species,190893,4,,,,
Streptococcus anginosus,species,1328,4,,,,
Lactococcus sp.,species,44273,4,,,,
Paenibacillus larvae,species,1464,4,,,,
Bacillus atrophaeus,species,1452,4,,,,
Staphylococcus auricularis,species,29379,4,,,,
Methylobacterium sp.,species,409,4,,,,
Corynebacterium auriscanis,species,99807,4,,,,
Clavibacter fangii,species,1573,4,,,,
Aliivibrio fischeri,species,668,4,,,,
Burkholderia multivorans,species,87883,4,,,,
Levilactobacillus,genus,,4,,,,
Raoultella,genus,,4,,,,
Hafnia,genus,,4,,,,
Cytophaga,genus,,4,,,,
Paracoccus,genus,,4,,,,
Methylobacterium,genus,,4,,,,
Aeromonas bestiarum,species,105751,3,,,,
Proteus myxofaciens,species,184072,3,,,,
Geobacillus stearothermophilus,species,1422,3,,,,
Providencia rettgeri,species,587,3,,,,
Peptostreptococcus micros,species,1257,3,,,,
Paenibacillus alvei,species,44250,3,,,,
Spiroplasma apis,species,2137,3,,,,
Enterococcus avium,species,33945,3,,,,
Acidipropionibacterium acidipropionici,species,1748,3,,,,
Psychrobacter immobilis,species,498,3,,,,
Salinivibrio costicola,species,51367,3,,,,
Staphylococcus chromogenes,species,46126,3,,,,
Corynebacterium simulans,species,146827,3,,,,
Glutamicibacter halophytocola,species,1933880,3,,,,
Bordetella pertussis,species,520,3,,,,
Lysinibacillus sphaericus,species,1421,3,,,,
Glaesserella parasuis,species,738,3,,,,
Delftia acidovorans,species,80866,3,,,,
Lactococcus raffinolactis,species,1357,3,,,,
Clostridium sporogenes,species,1509,3,,,,
Burkholderia mallei,species,13373,3,,,,
Flavobacterium sp.,species,239,3,,,,
Carnobacterium funditum,species,2752,3,,,,
Vibrio ichthyoenteri,species,142461,3,,,,
Rhodococcus sp.,species,1827,3,,,,
Ligilactobacillus salivarius,species,1624,3,,,,
Pasteurella canis,species,753,3,,,,
Streptococcus canis,species,1329,3,,,,
Exiguobacterium aestuarii,species,273527,3,,,,
Bacillus algicola,species,225844,3,,,,
Streptococcus parauberis,species,1348,3,,,,
Vibrio tasmaniensis,species,212663,3,,,,
Vibrio crassostreae,species,246167,3,,,,
Vibrio orientalis,species,28175,3,,,,
Vibrio breoganii,species,553239,3,,,,
Pseudomonas plecoglossicida,species,70775,3,,,,
Neisseria mucosa,species,488,3,,,,
Streptococcus constellatus,species,76860,3,,,,
Psychrobacter cibarius,species,282669,3,,,,
Xanthomonas euvesicatoria,species,456327,3,,,,
Acinetobacter Junii,species,40215,3,,,,
Salmonella pullorum,species,605,3,,,,
Propionibacterium,genus,,3,,,,
Salinivibrio,genus,,3,,,,
Glutamicibacter,genus,,3,,,,
Lysinibacillus,genus,,3,,,,
Glaesserella,genus,,3,,,,
Delftia,genus,,3,,,,
Companilactobacillus,genus,,3,,,,
Ligilactobacillus,genus,,3,,,,
Streptococcus alpha-hemolytic,species,1301,2,,,,
Streptococcus beta-hemolytic,species,1301,2,,,,
Kitasatospora kifunensis,species,58351,2,,,,
Corynebacterium sp.,species,1720,2,,,,
Weissella viridescens,species,1629,2,,,,
Cytophaga aquatilis,species,991,2,,,,
Ureaplasma canigenitalium,species,42092,2,,,,
Elizabethkingia meningoseptica,species,238,2,,,,
Clostridium pasteurianum,species,1501,2,,,,
Corynebacterium spheniscorum,species,185761,2,,,,
Sphingobacterium siyangense,species,459529,2,,,,
Saccharibacillus kuerlensis,species,459527,2,,,,
Pseudomonas luteola,species,47886,2,,,,
Campylobacter coli,species,195,2,,,,
Campylobacter lari,species,201,2,,,,
Aliivibrio salmonicida,species,40269,2,,,,
Pseudomonas haemolytica,species,2600065,2,,,,
Micrococcus flavus,species,384602,2,,,,
Mycoplasma hominis,species,2093,2,,,,
Pseudoalteromonas carrageenovora,species,227,2,,,,
Pseudomonas alginovora,species,37638,2,,,,
Cytophaga drobachiensis,species,63186,2,,,,
Latilactobacillus curvatus,species,28038,2,,,,
Legionella bozemanae,species,447,2,,,,
Legionella dumoffii,species,463,2,,,,
Legionella micdadei,species,451,2,,,,
Legionella oakridgensis,species,29423,2,,,,
Raoultella terrigena,species,577,2,,,,
Bacteroides sp.,species,29523,2,,,,
Listeria welshimeri,species,1643,2,,,,
Streptococcus intermedius,species,1338,2,,,,
Weissella cibaria,species,137591,2,,,,
Companilactobacillus kimchii,species,2801452,2,,,,
Prevotella intermedia,species,28131,2,,,,
Parvimonas micra,species,33033,2,,,,
Enterococcus mundtii,species,53346,2,,,,
Carnobacterium gallinarum,species,2749,2,,,,
Clostridium tyrobutyricum,species,1519,2,,,,
Propionibacterium sp.,species,1977903,2,,,,
Xenorhabdus japonica,species,53341,2,,,,
Corynebacterium renale,species,1724,2,,,,
Rothia nasimurium,species,85336,2,,,,
Empedobacter brevis,species,247,2,,,,
Lacticaseibacillus paracasei,species,1597,2,,,,
Lacinutrix algicola,species,342954,2,,,,
Pseudomonas otitidis,species,319939,2,,,,
Acinetobacter baylyi,species,202950,2,,,,
Rothia mucilaginosa,species,43675,2,,,,
Rothia dentocariosa,species,2047,2,,,,
Eubacterium sp.,species,142586,2,,,,
Staphylococcus delphini,species,53344,2,,,,
Vibrio litoralis,species,335972,2,,,,
Rhodococcus fascians,species,1827,2,,,,
Pseudomonas tolaasii,species,29442,2,,,,
Acinetobacter pittii,species,48296,2,,,,
Serratia fonticola,species,47917,2,,,,
Staphylococcus lugdunensis,species,28035,2,,,,
Vibrio proteolyticus,species,671,2,,,,
Exiguobacterium sp.,species,44751,2,,,,
Rothia kristinae,species,37923,2,,,,
Streptococcus viridans,species,78535,2,,,,
Clostridium tetani,species,1513,2,,,,
Staphylococcus citreus,species,1279,2,,,,
Kitasatospora,genus,,2,,,,
Elizabethkingia,genus,,2,,,,
Mycoplasmopsis,genus,,2,,,,
Sphingobacterium,genus,,2,,,,
Saccharibacillus,genus,,2,,,,
Pseudoalteromonas,genus,,2,,,,
Parvimonas,genus,,2,,,,
Xenorhabdus,genus,,2,,,,
Empedobacter,genus,,2,,,,
Lacinutrix,genus,,2,,,,
Veillonella parvula,species,29466,1,,,,
Raoultella planticola,species,575,1,,,,
Leucothrix mucor,species,45248,1,,,,
Micrococcus sp.,species,1271,1,,,,
Mesomycoplasma hyorhinis,species,2100,1,,,,
Mycoplasmopsis fermentans,species,2115,1,,,,
Campylobacter sp.,species,205,1,,,,
Pseudomonas amygdali,species,47877,1,,,,
Nocardia spp.,species,1817,1,,,,
Propionibacterium freudenreichii,species,1744,1,,,,
Acidipropionibacterium jensenii,species,1749,1,,,,
Acidipropionibacterium thoenii,species,1751,1,,,,
Aeromonas intestinalis,species,1917144,1,,,,
Aeromonas punctata,species,648,1,,,,
Citrobacter amalonaticus,species,35703,1,,,,
Dermacoccus nishinomiyaensis,species,1274,1,,,,
Riemerella anatipestifer,species,34085,1,,,,
Acetobacterium wieringae,species,52694,1,,,,
Tetragenococcus halophilus,species,51669,1,,,,
Actinobacillus pleuropneumoniae,species,715,1,,,,
Vibrio shiloi,species,689,1,,,,
Jonesia denitrificans,species,43674,1,,,,
Paenibacillus macerans,species,44252,1,,,,
Raoultella ornithinolytica,species,54291,1,,,,
Gardnerella vaginalis,species,2702,1,,,,
Lactobacillus jensenii,species,109790,1,,,,
Streptococcus pasteurianus,species,197614,1,,,,
Lactobacillus crispatus,species,47770,1,,,,
Actinobaculum schaalii,species,59505,1,,,,
Histophilus somni,species,731,1,,,,
Plesiomonas shigelloides,species,703,1,,,,
Priestia flexa,species,86664,1,,,,
Aliivibrio logei,species,688,1,,,,
Moritella viscosa,species,80854,1,,,,
Lactobacillus sp.,species,1591,1,,,,
Weissella paramesenteroides,species,1249,1,,,,
